Date;Workout Name;Exercise Name;Set Order;Weight;Weight Unit;Reps;RPE;Distance;Distance Unit;Seconds;Notes;Workout Notes;Workout Duration
2018-07-02 10:03:18;"Trening 2";"Bicep Curl (Dumbbell)";2;7,5;kg;12;;;;0;;;1h 18m
2018-07-02 10:03:18;"Trening 2";"Bicep Curl (Dumbbell)";3;7,5;kg;12;;;;0;;;1h 18m
2018-07-02 10:03:18;"Trening 2";"Plank";1;;;;;;km;65;"";;1h 18m
2018-07-02 10:03:18;"Trening 2";"Plank";2;;;;;;km;65;;;1h 18m
2018-07-02 10:03:18;"Trening 2";"Plank";3;;;;;;km;80;;;1h 18m
2018-07-02 10:03:18;"Trening 2";"Cable Crunch";1;20;kg;12;;;;0;"sprawdzic w necie, odleglosc od.maszyny , stopy itd ";;1h 18m
2018-07-02 10:03:18;"Trening 2";"Cable Crunch";2;30;kg;12;;;;0;;;1h 18m
2018-07-02 10:03:18;"Trening 2";"Cable Crunch";3;40;kg;12;;;;0;;;1h 18m
2018-07-05 08:33:16;"Trening 1";"Bench Press (Barbell)";1;70;kg;4;;;;0;"";"";1h 12m
2018-07-05 08:33:16;"Trening 1";"Bench Press (Barbell)";2;65;kg;6;;;;0;;;1h 12m
2018-07-05 08:33:16;"Trening 1";"Bench Press (Barbell)";3;60;kg;8;;;;0;;;1h 12m
2018-07-05 08:33:16;"Trening 1";"Bench Press (Barbell)";4;55;kg;8;;;;0;;;1h 12m
2018-07-05 08:33:16;"Trening 1";"Overhead Press (Barbell)";1;40;kg;5;;;;0;"";;1h 12m
2018-07-05 08:33:16;"Trening 1";"Overhead Press (Barbell)";2;35;kg;6;;;;0;;;1h 12m
2018-07-05 08:33:16;"Trening 1";"Overhead Press (Barbell)";3;30;kg;8;;;;0;;;1h 12m
2018-07-05 08:33:16;"Trening 1";"Overhead Press (Barbell)";4;25;kg;8;;;;0;;;1h 12m
2018-07-05 08:33:16;"Trening 1";"Squat (Barbell)";1;27,5;kg;5;;;;0;"";;1h 12m
2018-07-05 08:33:16;"Trening 1";"Squat (Barbell)";2;25;kg;6;;;;0;;;1h 12m
2018-07-05 08:33:16;"Trening 1";"Squat (Barbell)";3;22,5;kg;8;;;;0;;;1h 12m
2018-07-05 08:33:16;"Trening 1";"Squat (Barbell)";4;22,5;kg;8;;;;0;;;1h 12m
2018-07-05 08:33:16;"Trening 1";"Front Raise (Dumbbell)";1;7,5;kg;12;;;;0;"";;1h 12m
2018-07-05 08:33:16;"Trening 1";"Front Raise (Dumbbell)";2;7,5;kg;10;;;;0;;;1h 12m
2018-07-05 08:33:16;"Trening 1";"Triceps Dip";1;0;kg;12;;;;0;"";;1h 12m
2018-07-05 08:33:16;"Trening 1";"Triceps Dip";2;0;kg;12;;;;0;;;1h 12m
2018-07-05 08:33:16;"Trening 1";"Triceps Dip";3;0;kg;12;;;;0;;;1h 12m
2018-07-05 08:33:16;"Trening 1";"Plank";1;;;;;;km;60;"";;1h 12m
2018-07-05 08:33:16;"Trening 1";"Plank";2;;;;;;km;60;;;1h 12m
2018-07-05 08:33:16;"Trening 1";"Plank";3;;;;;;km;60;;;1h 12m
2018-07-05 08:33:16;"Trening 1";"Hanging Knee Raise";1;;;13;;;;0;"";;1h 12m
2018-07-05 08:33:16;"Trening 1";"Hanging Knee Raise";2;;;13;;;;0;;;1h 12m
2018-07-05 08:33:16;"Trening 1";"Hanging Knee Raise";3;;;13;;;;0;;;1h 12m
2018-07-07 10:39:07;"Trening 2";"Deadlift (Barbell)";1;50;kg;5;;;;0;"";"";1h 14m
2018-07-07 10:39:07;"Trening 2";"Deadlift (Barbell)";2;45;kg;6;;;;0;;;1h 14m
2018-07-07 10:39:07;"Trening 2";"Deadlift (Barbell)";3;40;kg;8;;;;0;;;1h 14m
2018-07-07 10:39:07;"Trening 2";"Deadlift (Barbell)";4;40;kg;8;;;;0;;;1h 14m
2018-07-07 10:39:07;"Trening 2";"Bent Over Row (Barbell)";1;45;kg;5;;;;0;"";;1h 14m
2018-07-07 10:39:07;"Trening 2";"Bent Over Row (Barbell)";2;40;kg;6;;;;0;;;1h 14m
2018-07-07 10:39:07;"Trening 2";"Bent Over Row (Barbell)";3;35;kg;8;;;;0;;;1h 14m
